title,year,authors,journal,doi,wos_accession,abstract,source
Students' perceptions of the rules and restrictions of gender at school: A psychometric evaluation of the Gender Climate Scale (GCS),2023,"Ullman, J; Hobby, L; Magson, NR; Zhong, HF",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2023.1095255,WOS:000953502000001,"Research in the field of gender and sexuality diversity and, more specifically, negative attitudes toward gender and sexuality diverse individuals, has acknowledged the relationship between individuals' endorsement of sex-differentiated, normative gender roles and their attitudes toward gender and sexuality diversity. Such work has highlighted how normative expectations of gender, drawn from binarized gender roles, sit at the heart of homophobic and transphobic attitudes. Previous research in high school settings has measured gender and sexuality diverse (GSD) students' experiences of homo/tra",random_sample_395
Revised environmental identity scale: Adaptation and preliminary examination on a sample of Italian pet owners,2023,"Ariccio, S; Mosca, O",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.892841,WOS:001061283800001,"The Revised Environmental Identity (EID) Scale is a tool proposed by Clayton in 2021 to replace her 2003's EID Scale and aims to measure individual differences in a stable sense of interdependence and connectedness with nature. Since an Italian version of this scale was still missing, the present study presents an adaptation of the Revised EID Scale in Italian. The scale has been translated, back-translated, and administered online to 163 pet owners living in Italy in the context of a study about pet attachment. A parallel analysis suggested the existence of two factors. The exploratory factor",random_sample_395
Reliability of attention bias and attention bias variability to climate change images in the dot-probe task,2023,"Carlson, JM; Fang, L; Coughtry-Carpenter, C; Foley, J",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.1021858,WOS:000918452500001,"Climate change is one of the most pressing issues of the 21st century, which is perhaps why information about climate change has been found to capture observers' attention. One of the most common ways of assessing individual differences in attentional processing of climate change information is through the use of reaction time difference scores. However, reaction time-based difference scores have come under scrutiny for their low reliability. Given that a primary goal of the field is to link individual differences in attention processing to participant variables (e.g., environmental attitudes)",random_sample_395
"The outdoor office: a pilot study of environmental qualities, experiences of office workers, and work-related well-being",2023,"Söderlund, C; Suárez, LAD; Tillander, A; Toivanen, S; Bälter, K",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2023.1214338,WOS:001127336500001,"Outdoor office work is an emerging aspect of the concept of 'new ways of working', but only sparse data are available about the environmental qualities of the outdoor office space, experiences of office workers, and work-related well-being of outdoor office work. Here, we present an exploratory pilot study on well-being and outdoor office work in a public urban space. An outdoor office was set up in the courtyard of a university campus, and the participants (n = 16) conducted office work outdoors for 30 min and thereafter participated in an eye-tracking session for 11-15 min (n = 8) and subseq",random_sample_395
The effect of visual attention process and thinking styles on environmental aesthetic preference: An eye-tracking study,2023,"Chen, W; Ruan, RB; Deng, WW; Gao, JX",FRONTIERS IN PSYCHOLOGY,10.3389/fpsyg.2022.1027742,WOS:000919280500001,"People often form different aesthetic preferences for natural and built environments, which affects their behavioral intention; however, it remains unknown whether this difference in aesthetic preference is due to differences in thinking styles. However, whether tourists' aesthetic preferences differ when using different visual attention processes has not been studied further. This study used eye-tracking and self-reporting to investigate these questions. The results show that natural environment images are more favored visually because they can evoke in tourists larger pupil diameters and lon",random_sample_395
Contours of a research ethics and integrity perspective on open science,2023,"Lindemann, T; Häberlein, L",FRONTIERS IN RESEARCH METRICS AND ANALYTICS,10.3389/frma.2023.1052353,WOS:001379208600001,"This article argues that adopting a research ethics and integrity perspective could support researchers in operationalizing the open science guiding principle ""as open as possible, as closed as necessary"" in a responsible and context-sensitive manner. To that end, the article points out why the guiding principle as such provides only a limited extent of action-guidance and outlines the practical value of ethical reflection when it comes to translating open science into responsible research practice. The article illustrates how research ethics and integrity considerations may help researchers u",random_sample_395
"Problems of knowledge, problems of order: the open science field site",2023,"Goldensher, LO",FRONTIERS IN SOCIOLOGY,10.3389/fsoc.2023.1149073,WOS:001118030500001,"Ethnographers can and should not just do or not do open science, but study the push to share data, instruments, and other research materials as an important moment of change and contest in contemporary knowledge-making and knowledge politics. Following ethnographers of science and technology who have demonstrated the analytic opportunities afforded by moments of scientific controversy, we should treat the places where these calls are made, debated, and taken up as important field sites for ethnographic inquiry. Whenever and wherever the sharing of data, instruments, and research is discussed, ",random_sample_395
"Electronic application for rabies management improves surveillance, data quality, and investigator experience in Haiti",2023,"Schrodt, CA; Dilius, P; Gibson, AD; Crowdis, K; Fénelon, N; Ross, Y; Bonaparte, S; Joseph, HC; Wallace, RM",FRONTIERS IN VETERINARY SCIENCE,10.3389/fvets.2023.1052349,WOS:000967948000001,"BackgroundIntegrated bite case management (IBCM) is a multi-sectoral response to animal-bites which reduces human and canine rabies mortality through animal quarantine, bite-victim counseling, and vaccination tracking. Haiti's national rabies surveillance program was established in 2013 using paper-based IBCM (pIBCM) with adoption of an electronic smartphone application (eIBCM) in 2018. MethodsWe evaluated the feasibility of implementing the electronic app in Haiti and compared pIBCM and eIBCM data quality collected January 2013-August 2019. Deaths prevented, cost-per-death averted, and cost-p",random_sample_395
"Evaluation of coastal wetland ecosystem services based on modified choice experimental model: A case study of mangrove wetland in Beibu Gulf, Guangxi",2023,"Nie, X; Jin, XH; Wu, JX; Li, WJ; Wang, H; Yao, YC",HABITAT INTERNATIONAL,10.1016/j.habitatint.2022.102735,WOS:000915150900001,"The evaluation of the service value of coastal wetland ecosystem is of great significance for the scientific development and effective utilization of coastal wetland resources. It has been proved that the addition of attribute cut-offs in the choice experiment (CE) evaluation framework improves the validity of evaluation results. However, whether this improvement is due to the improvement of the questionnaire or the improvement of the utility equation cannot be distinguished with this framework. In this study, the modified selection model with cut-off is used to assess the two key elements of ",random_sample_395
Examining Chinese social sciences graduate students' understanding of research ethics: implications for their research ethics education,2023,"Huang, JY; Wang, YH",HUMANITIES & SOCIAL SCIENCES COMMUNICATIONS,10.1057/s41599-023-02000-6,WOS:001044401600004,"Using the research ethics scale (Huang et al., 2021) and follow-up interviews, this study examined Chinese social sciences graduate students' understanding of research ethics of empirical studies involving human subjects. The participants included 463 Chinese graduate students majoring in teacher education, English education, management, and economics. The quantitative findings suggested that these graduate students had a fairly good understanding of researchers' ethical responsibilities and developed general human subjects' ethical awareness; furthermore, there existed significant research ex",random_sample_395
Indigenous Data Governance in Australia: Towards A National Framework,2023,"Rose, J; Langton, M; Smith, K; Clinch, D",INTERNATIONAL INDIGENOUS POLICY JOURNAL,10.18584/iipj.2023.14.1.10987,WOS:000995895000001,"Australia's distinctive colonial administrative history has resulted in the generation and capture of large quantities of personal data about Indigenous Peoples in Australia, which is currently controlled and processed by government agencies and departments without coherent regulation. From an Indigenous standpoint, these data constitute stranded assets. Established legal frameworks for pursuing recovery of other classes of asset alienated by governments from Indigenous Peoples in Australia, including land, natural resources, and unpaid wages, have not yet been extended to the recovery of Indi",random_sample_395
Women's entrepreneurial behavior in Saudi Arabian SMEs: A study based on Ajzen's theory of planned behavior,2023,"Naser, AB; Al-Tit, AA",INTERNATIONAL JOURNAL OF ADVANCED AND APPLIED SCIENCES,10.21833/ijaas.2023.09.015,WOS:001083371000015,"This study aims to investigate women's entrepreneurial behavior (WEB) within the context of small and medium enterprises (SMEs) in Saudi Arabia, utilizing Ajzen's theory of planned behavior. A conceptual model comprising four latent variables-attitudes towards behavior (ATB), subjective norms (SN), perceived behavioral control (PBC) as exogenous factors, and behavioral intention (BI) as a mediating factor-was examined. Additionally, WEB was evaluated as an endogenous outcome. Data analysis relied on 97 usable responses gathered via a Likert scale-based questionnaire. The findings underscore th",random_sample_395
Machine learning in predicting anti-money laundering compliance with protection motivation theory among professional accountants,2023,"Masrom, S; Tarmizi, MA; Halid, S; Rahman, RA; Rahman, ASA; Ibrahim, R",INTERNATIONAL JOURNAL OF ADVANCED AND APPLIED SCIENCES,10.21833/ijaas.2023.07.007,WOS:001045874700007,"Money laundering represents a significant global threat, necessitating the vigilance of professional accountants in detecting and reporting suspicious customer activities within their jurisdiction to the relevant authorities. Despite the legal obligation to comply with anti-money laundering regulations, professional accountants' adherence to these measures remains insufficient. Previous research on machine learning techniques for combating money laundering has predominantly concentrated on predicting suspicious transactions, rather than evaluating compliance behavior. This study aims to develo",random_sample_395
The effects of the theory of planned behaviour on the switching propensity of retail banking customers at different critical switching incidents,2023,"Georgiou, M; Daskou, S; Anastasiou, A; Siakalli, M",INTERNATIONAL JOURNAL OF BANK MARKETING,10.1108/IJBM-12-2022-0532,WOS:001075470100001,"PurposeThe paper aims to explore the effects of the behavioural antecedents suggested by the theory of planned behaviour (TPB) (i.e. positive subjective norms, high perceived behavioural control and positive attitudes towards switching) on the switching propensity of retail banking customers at several critical switching incidents (CSIs) (i.e. events of unfavourable reputation concerning their current bank or favourable reputation concerning competitor banks, service failures, problems with charges and interest rates, herding behaviour, inconvenience, alternative banks' attractiveness and unet",random_sample_395
"Explaining farmers' pro-environmental behaviors toward plant, soil and water conservation in Iran: an application of value-belief-norm theory",2023,"Borkhani, FR; Khaleghi, B; Mirtorabi, MS; Mohammadi, Y",INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,10.1007/s13762-022-04568-z,WOS:000875590600001,"This study aimed to explain the farmers' pro-environmental behaviors toward plant, soil and water conservation by adapting the value-belief-norm theory. This cross-sectional survey investigated 342 farmers in Mazandaran province, Iran. Data collection was done using a structured questionnaire and analyzed through structural equation modeling. The findings of the study confirmed the causal paths of variables in the value-belief-norm theory. As expected, in a causal chain, values influenced beliefs, and beliefs influenced norms, and finally norms influenced the plant, soil and water conservation",random_sample_395
Securing online accounts and assets: An examination of personal investments and protection motivation,2023,"Ogbanufe, O",INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,10.1016/j.ijinfomgt.2022.102590,WOS:000868338100001,"This paper examines how personal investment influence the use of multi-factor authentication (MFA) for securing online accounts. We draw from the Protection Motivation Theory (PMT) that accounts for intrapersonal factors that increase one's understanding of their threat and coping mechanisms and, subsequently, their motivation to protect such investments. We integrate size of investment - the amount of time, effort, and other personal resources that an individual has put into their online account. Based on PMT's framework, we develop a research model that examines the influence of investment s",random_sample_395
Social-psychological Aspects of Probability-based Online Panel Participation,2023,"Kocar, S; Lavrakas, PJ",INTERNATIONAL JOURNAL OF PUBLIC OPINION RESEARCH,10.1093/ijpor/edad012,WOS:000976902200001,"In this study, we use qualitative research methods to identify, discuss, and investigate the self-reported motivational factors and barriers in all stages of the probability-based online panel lifecycle-recruitment to the panel, wave-by-wave data collection, and voluntary attrition. Our data were gathered with qualitative in-depth interviews (IDIs). Between March 2020 and February 2021, panelists from the Life in Australia (TM) probability online panel were classified into four groups based on their previous panel response behavior and each was interviewed. The qualitative data were used to li",random_sample_395
Methodological Approaches to Obtaining Informed Consent when Conducting Research With Individuals With Deafblindness,2023,"Wittich, W; Boie, NR; Jaiswal, A",INTERNATIONAL JOURNAL OF QUALITATIVE METHODS,10.1177/16094069231205176,WOS:001077650700001,"Informed consent is essential in research involving people with disabilities to protect their rights and ensure ethical conduct. Individuals with communicative vulnerability, such as those living with deafblindness, face difficulties when the research process is not accessible. Our team has developed methodological expertise where this vulnerable population is concerned. To formalize recommendations that can improve their inclusion, we utilized an observational, retrospective design to address three questions: What are procedures that facilitate recruitment in a lab specializing on working wit",random_sample_395
Surrogate Practices in Research in the Absence of a Research Ethics Committee: A Qualitative Study,2023,"Abrera, AMC; Pagkatipunan, PMN; Limson, EBE",JOURNAL OF ACADEMIC ETHICS,10.1007/s10805-021-09443-z,WOS:000749151100001,"The establishment of a Research Ethics Committee (REC) is a significant step to ensure the standard procedures in ethics review process that protect human participants. However, in instances when RECs are not yet established, surrogate activities are practiced by some institutions. The objective of this study was to identify prevailing research ethical practices of research directors and faculty researchers in the absence of a research ethics committee in their respective academic institutions. Specifically, it aimed to explore the participants' 1) experiences in research subject protection an",random_sample_395
"Modeling risks in marine protected areas: Mapping of habitats, biodiversity, and cultural ecosystem services in the southernmost atlantic coral reef",2023,"Niz, WC; Laurino, IRA; de Freitas, DM; Rolim, FA; Motta, FS; Pereira, GH",JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2023.118855,WOS:001091176700001,"Marine Protected Area (MPA) is a fundamental strategy for the maintenance of ocean ecological processes worldwide and, consequently, their associated ecosystem services. Nevertheless, the quality of the services provided by MPAs, including cultural services such as recreational activities, depends on the effective management of marine habitats and biodiversity. Here, we performed an ecosystemic assessment in reef environments within a subtropical MPA, modeling the potential risks for their habitats and their recreational activities. The Queimada Grande Island (QGI), southeastern Brazil, was us",random_sample_395
"Insights into eco-anxiety in Italy: Preliminary psychometric properties of the Italian version of the Hogg Eco-anxiety Scale, age and gender distribution",2023,"Rocchi, G; Pileri, J; Luciani, F; Gennaro, A; Lai, CR",JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,10.1016/j.jenvp.2023.102180,WOS:001109788600001,"Eco-anxiety is a topic of extreme importance in Italy. The present study aimed to assess the preliminary psychometric properties of the Italian version of the Hogg Eco-Anxiety Scale (HEAS). Different internal structures of the HEAS were compared through confirmatory factor analysis (CFA) and the four-factor model met the best criteria for adequacy of fit. Affective symptoms, rumination, behavioral symptoms, and anxiety about one's negative impact on the planet are the dimensions captured by the 13 items of the HEAS, consistent with the results of the original study. Results highlight good inte",random_sample_395
Too much praise for reappraisal? Examining reappraisal's impact on threat mitigation depending on its implementation: A registered report,2023,"Wenzel, M; Rowland, Z; Nielsen, KS; Lange, F",JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,10.1016/j.jesp.2023.104475,WOS:000990432300001,"Reappraisal, the act of reframing a situation differently, is associated with affective benefits. Preliminary correlational evidence suggests that successfully down-regulating negative affect is associated with lower motivation to engage in political action, although experimental studies could not find such negative impact. We hypothesized that reappraisal may impact threat mitigation behavior differently, depending on its imple-mentation: If individuals implement reappraisal to down-regulate their negative affect in response to a threat-ening situation, they neutralize the mobilizing effect o",random_sample_395
Embracing the Messiness in Mixed Methods Research: The Craft Attitude,2023,"Sakata, N",JOURNAL OF MIXED METHODS RESEARCH,10.1177/15586898221108545,WOS:000815051900001,"Whereas the significance and potential impacts of messiness in mixed methods research have been well acknowledged, the literature on mixed methods research has accumulated few examples of engaging and navigating mess. This article provides an account of the nitty-gritty of messiness and its consequences during the process of mixed methods research. By applying the 'craft attitude' and a socio-ecological framework for mixed methods research to a mixed methods case study, I demonstrate how my embracing of research messiness through the craft attitude exemplifies the interconnectedness of the per",random_sample_395
The Precision of Estimates of Nonresponse Bias in Means,2023,"Eckman, S; Unangst, J; Dever, JA; Antoun, C",JOURNAL OF SURVEY STATISTICS AND METHODOLOGY,10.1093/jssam/smac019,WOS:000817125100001,"Survey data producers increasingly provide estimates of nonresponse bias in several variables when they release or analyze data. Researchers understand that sample estimates of population values should be reported with appropriate measures of uncertainty, such as standard errors or confidence intervals. However, few studies acknowledge that nonresponse bias estimates vary across samples. Using simulations, we study the precision of estimates of nonresponse bias in means and how that precision is affected by features such as clustering and response rates. Results show that low response rates an",random_sample_395
"The Effects of a Targeted ""Early Bird"" Incentive Strategy on Response Rates, Fieldwork Effort, and Costs in a National Panel Study",2023,"Mcgonagle, KA; Sastry, N; Freedman, VA",JOURNAL OF SURVEY STATISTICS AND METHODOLOGY,10.1093/jssam/smab042,WOS:001102866800003,Adaptive survey designs are increasingly used by survey practitioners to counteract ongoing declines in household survey response rates and manage rising fieldwork costs. This paper reports findings from an evaluation of an early-bird incentive (EBI) experiment targeting high-effort respondents who participate in the 2019 wave of the US Panel Study of Income Dynamics. We identified a subgroup of high-effort respondents at risk of nonresponse based on their prior wave fieldwork effort and randomized them to a treatment offering an extra time-delimited monetary incentive for completing their int,random_sample_395
"Analysis of Landscape Character Assessment and Cultural Ecosystem Services Evaluation Frameworks for Peri-Urban Landscape Planning: A Case Study of Harku Municipality, Estonia",2023,"Nevzati, F; Veldi, M; Kuelvik, M; Bell, S",LAND,10.3390/land12101825,WOS:001095337700001,"This study combined landscape character assessment (LCA) and cultural ecosystem services (CES) frameworks to evaluate human well-being in the peri-urban area of Harku Municipality, Estonia. Using geospatial data combined with expert opinions, the study investigated the interplay between landscape character types and environmental/contact types through the LCA method. In total, 21 distinct landscape types comprising 47 separate areas were identified, with CES values determined for each. Restorative, social, and cognitive values were associated with each landscape character type. The findings de",random_sample_395
Community forest management led to rapid local forest gain in Nepal: A 29 year mixed methods retrospective case study,2023,"Smith, AC; Hurni, K; Fox, J; van den Hoek, J",LAND USE POLICY,10.1016/j.landusepol.2022.106526,WOS:000923522200001,"Despite widespread implementation of community forest (CF) management over the last 40 years, limited knowledge exists on CF-level processes that link introduction of CF management to long-term forest cover change. CF management has been widely adopted in Nepal but research on effects of CF management on forest cover change often lacks long-term forest cover data and does not attempt to directly link changes in local forest cover with forest management decisions by local forest users. This study used a mixed methods approach integrating a 29 year-long satellite record of annual forest cover (1",random_sample_395
Reframing rangeland systems science research in Kenya: a synthesis of social-science mixed methods to inform integrative analysis of landscape pattern and process,2023,"Unks, R",LANDSCAPE ECOLOGY,10.1007/s10980-023-01723-w,WOS:001028431400001,"ContextInterdisciplinary borrowing between ecology and the social sciences has produced numerous insights about pastoral livelihood practices and rangeland ecology, demonstrating how people practicing pastoralism constantly modify their practices to adapt to social, political, economic, and biophysical change.ObjectivesI outline an approach for integrating research on pastoral livelihoods into a landscape ecology framework. I focus on access to land and resources, and an integrative approach to scale, to assess the relationship between landscape and social processes.MethodsI use remotely sense",random_sample_395
"Informing ecosystem values of Loktak Lake in Manipur, India: an application of discrete choice experiments",2023,"Sreeraman, BA; Singh, KG; Leichombam, P",MARINE AND FRESHWATER RESEARCH,10.1071/MF21337,WOS:000988957800001,"Context. To inform the economic value of Loktak Lake, a Ramsar Site located in north-eastern India, and to suggest sustainable management and wise use of the Lake. Aim. To find out the stakeholder preferences and the marginal willingness to pay over improved conservation and management of Loktak Lake. Method. Choice Experiment Method, a stated preference method used for environmental valuation is employed in the study. Result. The majority of the stakeholders have indicated their strong preference for effective conservation of the Lake with improvement in the fish catch and recreational sites ",random_sample_395
Survey of open science practices and attitudes in the social sciences,2023,"Ferguson, J; Littman, R; Christensen, G; Paluck, EL; Swanson, N; Wang, ZA; Miguel, E; Birke, D; Pezzuto, JH",NATURE COMMUNICATIONS,10.1038/s41467-023-41111-1,WOS:001063751200011,"Open science practices such as posting data or code and pre-registering analyses are increasingly prescribed and debated in the applied sciences, but the actual popularity and lifetime usage of these practices remain unknown. This study provides an assessment of attitudes toward, use of, and perceived norms regarding open science practices from a sample of authors published in top-10 (most-cited) journals and PhD students in top-20 ranked North American departments from four major social science disciplines: economics, political science, psychology, and sociology. We observe largely favorable ",random_sample_395
Open Science 2.0: Towards a truly collaborative research ecosystem,2023,"Thibault, RT; Amaral, OB; Argolo, F; Bandrowski, AE; Davidson, AR; Drude, NI",PLOS BIOLOGY,10.1371/journal.pbio.3002362,WOS:001099100900004,"Conversations about open science have reached the mainstream, yet many open science practices such as data sharing remain uncommon. Our efforts towards openness therefore need to increase in scale and aim for a more ambitious target. We need an ecosystem not only where research outputs are openly shared but also in which transparency permeates the research process from the start and lends itself to more rigorous and collaborative research. To support this vision, this Essay provides an overview of a selection of open science initiatives from the past 2 decades, focusing on methods transparency",random_sample_395
"Development of the Acoustic Comfort Assessment Scale (ACAS-12): Psychometric properties, validity evidence and back-translation between Spanish and English",2023,"Herranz-Pascual, K; Iraurgi, I; Aspuru, I; Garcia-Pérez, I; Eguiguren, JL; Santander, A",PLOS ONE,10.1371/journal.pone.0281534,WOS:000989733100001,"A methodological proposal of a scale for human perception assessment of acoustic environment (acoustic comfort) in urban public spaces is presented: Acoustic Comfort Assessment Scale (ACAS 12). This paper shows the process of constructing this scale and its psychometric properties and validation. The approach is based on the soundscape conceptualisation collected in ISO 12913-1:2014 (Acoustics-Soundscape: Definition and conceptual framework). The proposed scale is a 5-point semantic differential scale made up of twelve pairs of bipolar adjectives, grouped around five theoretical dimensions. It",random_sample_395
Registered report: Survey on attitudes and experiences regarding preregistration in psychological research,2023,"Spitzer, L; Mueller, S",PLOS ONE,10.1371/journal.pone.0281086,WOS:000985134400109,"BackgroundPreregistration, the open science practice of specifying and registering details of a planned study prior to knowing the data, increases the transparency and reproducibility of research. Large-scale replication attempts for psychological results yielded shockingly low success rates and contributed to an increasing demand for open science practices among psychologists. However, preregistering one's studies is still not the norm in the field. Here, we conducted a study to explore possible reasons for this discrepancy. MethodsIn a mixed-methods approach, we conducted an online survey as",random_sample_395
The impact of visually simulated self-motion on predicting object motion-A registered report protocol,2023,"Jörges, B; Harris, LR",PLOS ONE,10.1371/journal.pone.0267983,WOS:000966671300001,"To interact successfully with moving objects in our environment we need to be able to predict their behavior. Predicting the position of a moving object requires an estimate of its velocity. When flow parsing during self-motion is incomplete-that is, when some of the retinal motion created by self-motion is incorrectly attributed to object motion-object velocity estimates become biased. Further, the process of flow parsing should add noise and lead to object velocity judgements being more variable during self-motion. Biases and lowered precision in velocity estimation should then translate to ",random_sample_395
Psychometric Evaluation of a Visual Interpersonal Analog Scale,2023,"Woods, WC; Edershile, EA; Ringwald, WR; Sharpe, BM; Himmelstein, PH; Newman, MG; Wilson, SJ; Ellison, WD; Levy, KN; Pincus, AL; Creswell, JD; Wright, AGC",PSYCHOLOGICAL ASSESSMENT,10.1037/pas0001210,WOS:000917196500001,"Interpersonal theory organizes social behavior along dominant (vs. submissive) and warm (vs. cold) dimensions. There is a growing interest in assessing these behaviors in naturalistic settings to maximize ecological validity and to study dynamic social processes. Studies that have assessed interpersonal behavior in daily life have primarily relied on behavioral checklists. Although checklists have advantages, they are discrepant with techniques used to capture constructs typically assessed alongside warmth and dominance, such as affect, which typically rely on adjective descriptors. Further, t",random_sample_395
Will information interventions affect public preferences and willingness to pay for air quality improvement? An empirical study based on deliberative choice experiment,2023,"Jiang, N; Ao, CL; Xu, LS; Wei, YH; Long, YL",SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2023.161436,WOS:000961191500001,"Environmental information is a prerequisite for public participation in air quality improvement, and the choice of such participation behavior is influenced by the intervention of environmental information. Nonetheless, there has been in-sufficient analysis of how information interventions affect public preferences and willingness to pay for air quality im-provement. The combination of deliberative and choice experiment is used to explore the importance of information interventions for public participation in air quality improvement, and the changes in public preferences and willing-ness to pa",random_sample_395
Mapping and assessment of recreational cultural ecosystem services supply and demand in Vilnius (Lithuania),2023,"Kalinauskas, M; Bogdzevic, K; Gomes, E; Inácio, M; Barcelo, D; Zhao, W; Pereira, P",SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2022.158590,WOS:000864062900014,"This work aims to map and assess the recreational culture ecosystem services (CES) supply and demand in Vil-nius. A novel framework individually assessed natural recreational CES supply and cultural recreational CES supply dimensions. So far, the previous works did not consider both CES components individually. Also, the val-idation of CES models is scarce and challenging. This work aims to map and assess natural recreational supply CES, cultural recreational CES supply, natural + cultural recreational CES supply, and cultural recreational CES demand. The results showed that the natural recrea",random_sample_395
Understanding belief in political statements using a model-driven experimental approach: a registered report,2023,"Santangelo, AP; Solovey, G",SCIENTIFIC REPORTS,10.1038/s41598-023-47939-3,WOS:001126964000006,"Misinformation harms society by affecting citizens' beliefs and behaviour. Recent research has shown that partisanship and cognitive reflection (i.e. engaging in analytical thinking) play key roles in the acceptance of misinformation. However, the relative importance of these factors remains a topic of ongoing debate. In this registered study, we tested four hypotheses on the relationship between each factor and the belief in statements made by Argentine politicians. Participants (N = 1353) classified fact-checked political statements as true or false, completed a cognitive reflection test, an",random_sample_395
Drivers of religious entrepreneurial behaviour among Pentecostal pastors: push-pull-mooring theory and theory of planned behaviour,2023,"Agu, AG; Etochkwu, OG; Daniel, TO; Rejoice, OE; Ben, UD",SMALL ENTERPRISE RESEARCH,10.1080/13215906.2023.2231408,WOS:001020009500001,"Little academic research has been devoted to entrepreneurship and religion, and the major focus has been on religious beliefs and entrepreneurial behaviour. Studies investigating the determinants of religious entrepreneurial behaviour are scarce. Given the inconclusive and largely context-specific nature of studies that explored the determinants of entrepreneurial intentions/behaviour, understanding the drivers of religious entrepreneurial behaviour of Pentecostal pastors in South-East Nigeria will provide more insights into the literature. A qualitative survey has been conducted using the pus",random_sample_395
Exploring and Measuring Quality of Life Determinants of Wage Workers in Egypt: A Structural Equation Modelling Approach,2023,"Zeini, NT; Okasha, AE; Soliman, AS",SOCIAL INDICATORS RESEARCH,10.1007/s11205-023-03202-w,WOS:001059609300001,"This paper aims to identify the major significant dimensions that contribute to the overall quality of life (QOL) of wage workers in Egypt. As the QOL is a complex, multidimensional, and interdisciplinary concept, forty-seven indicators under five domains were chosen to investigate the QOL determinants of wage workers in Egypt, namely job characteristics, job satisfaction, ICT access, gender equality and women empowerment, and neighborhood services and utilities. Using data from the 2018 wave of the Egypt Labor Market Panel Survey, the paper employed structural equation modelling (SEM) approac",random_sample_395
Evading Open Science: The Black Box of Student Data Collection,2023,"Ludwig, T; Altenmüller, MS; Schramm, LFF; Twardawski, M",SOCIAL PSYCHOLOGICAL BULLETIN,10.32872/spb.9411,WOS:001287613000009,"While Open Science has arguably initiated positive changes at some stages of the research process (e.g., increasing transparency through preregistration), problematic behaviors during data collection are still almost impossible to detect and pose a great risk to the validity and integrity of psychological research-especially, when researchers use data collected by others (e.g., students). Exploring students' and supervisors' perspectives, the present registered report enlightens this ""black box"" of student data collection, focusing on questionable research practices and research misconduct (QR",random_sample_395
Assessing class cohesion in primary and secondary education: Development and preliminary validation of the class cohesion questionnaire (CCQ),2023,"Leo, FM; Fernández-Río, J; Pulido, JJ; Rodríguez-González, P; López-Gajardo, MA",SOCIAL PSYCHOLOGY OF EDUCATION,10.1007/s11218-022-09738-y,WOS:000880497100001,"The aim of this study was to develop and validate a psychometrically-sound instrument to assess students' perceptions about class cohesion. Two studies were conducted. In Study 1, four steps were established: (1) development of the Class Cohesion Questionnaire (CCQ); (2) item selection; (3) item compression; and (4) exploration of psychometric properties. In Study 2, participants were 1504 students from 21 primary and secondary schools. The aim was to confirm the psychometric properties and to create a short version of the instrument (CCQ-SF). In Study 1, the CCQ showed adequate content and co",random_sample_395
Item Nonresponse in Web Versus Other Survey Modes: A Systematic Review and Meta-Analysis,2023,"Cehovin, G; Bosnjak, M; Manfreda, KL",SOCIAL SCIENCE COMPUTER REVIEW,10.1177/08944393211056229,WOS:000753330700001,"Nonresponse is a fundamental issue in survey research, due to the trend of declining response rates across survey modes. This issue is particularly serious for web surveys: A recent meta-analysis found that unit nonresponse in web surveys is, on average, higher by 12 percentage points than in other modes (Daikeler et al., 2020). Although the issue of unit nonresponse in web and other survey modes has been investigated in several meta-analyses, item nonresponse has not been examined meta-analytically, a gap addressed by this paper. Are web surveys at a disadvantage compared to other survey mode",random_sample_395
The Early Bird Catches the Worm! Setting a Deadline for Online Panel Recruitment Incentives,2023,"Friedel, S; Felderer, B; Krieger, U; Cornesse, C; Blom, AG",SOCIAL SCIENCE COMPUTER REVIEW,10.1177/08944393221096970,WOS:000797856100001,"The literature on the effects of incentives in survey research is vast and covers a diversity of survey modes. The mode of probability-based online panels, however, is still young and so is research into how to best recruit sample units into the panel. This paper sheds light on the effectiveness of a specific type of incentive in this context: a monetary incentive that is paid conditionally upon panel registration within two weeks of receiving the initial postal mail invitation. We tested early bird cash incentives in a large-scale recruitment experiment for the German Internet Panel (GIP) in ",random_sample_395
Evaluating the Impacts of a Research Ethics Training Course on University Researchers,2023,"Knight, J",SOCIAL SCIENCES-BASEL,10.3390/socsci12030182,WOS:000958017700001,"Training in research ethics is an essential part of professional development for graduate students and academic and research staff at universities and other research institutions. Certificated training in research ethics has been offered at the University of the Witwatersrand, Johannesburg, South Africa, since 2019. This training comprises a 4 h content-based workshop followed by a written assignment with attendees who are mainly graduate students and academic staff of the University. This study presents the results of an anonymous online survey that evaluated the impacts of the ethics trainin",random_sample_395
