title,year,doi,matched_steps
Using large language models to support pre-service teachers mathematical reasoning-an exploratory study on ChatGPT as an instrument for creating mathematical proofs in geometry,2024,10.3389/frai.2024.1460337,Step_11_Data_Preparation_Analysis_and_Reporting
Effects of different audiovisual landscapes in bamboo forest space on physical and mental restorative potential of university students: based on eye-tracking experiments,2024,10.3389/ffgc.2024.1415514,
Self-reported previous experiences with sharks and stingrays predict behavioral intentions of tolerance: differential effects of wild versus captive marine predators,2024,10.3389/fmars.2024.1501367,Step_07_Measuring_Behavior_Beyond_Self_Report
PhyLab - a virtual reality laboratory for experiments in physics: a pilot study on intervention effectiveness and gender differences,2024,10.3389/fpsyg.2024.1284597,Step_04_Study_Architecture_and_Experimental_Design; Step_09_Power_Analysis_Sampling_and_Pilots
"Using an Instagram campaign to influence knowledge, subjective norms, perceived behavioral control, and behavioral intentions for sustainable behaviors",2024,10.3389/fpsyg.2024.1377211,Step_02_Theory_Grounding_and_Construct_Conceptualization
"Exploring sense of spaciousness in interior settings: Screen-based assessments with eye tracking, and virtual reality evaluations",2024,10.3389/fpsyg.2024.1473520,
"Psychological capital, mindfulness, and teacher burnout: insights from Chinese EFL educators through structural equation modeling",2024,10.3389/fpsyg.2024.1351912,Step_07_Measuring_Behavior_Beyond_Self_Report; Step_11_Data_Preparation_Analysis_and_Reporting
Not only seeds: a cultural ecosystem service provided by the Apennine brown bear,2024,10.1080/10871209.2023.2176950,Step_02_Theory_Grounding_and_Construct_Conceptualization
"Actively encouraging online responses to a mixed-mode mail and web survey: a case of nudging anglers in Ontario, Canada",2024,10.1080/10871209.2023.2206169,Step_10_Survey_Distribution
Does the impact of the COVID-19 inhibit global entrepreneurial activities? Structural equation model analysis based on GEM data of 90 countries,2024,10.1007/s11365-023-00890-1,Step_11_Data_Preparation_Analysis_and_Reporting
Authenticity of cultural heritage vis-a-vis heritage reproducibility and intangibility: from conservation philosophy to practice,2024,10.1080/10286632.2023.2177642,Step_05_Preregistration_and_Open_Science
"Translanguaging, motivation, learning, and intercultural citizenship among EMI students: A structural equation modelling analysis",2024,10.1016/j.ijintrel.2024.101983,Step_11_Data_Preparation_Analysis_and_Reporting
Predicting elderly users' intention of digital payments during COVID-19: an extension of the theory of planned behavior model,2024,10.1108/IJSE-11-2022-0759,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
How much do survey response rates affect relationships among variables?,2024,10.1080/13645579.2022.2113663,Step_10_Survey_Distribution
"A meta-analysis of worldwide recruitment rates in 23 probability-based online panels, between 2007 and 2019",2024,10.1080/13645579.2023.2242202,Step_10_Survey_Distribution
"'They must know their rights'- reflecting on privacy, informed consent and the digital agency of asylum seekers and refugees in border contexts",2024,10.1111/imig.13299,Step_08_Ethics_and_Participant_Compensation
Rental subsidies and take-up barriers in an era of expensive rents: An extended version of the theory of planned behaviour,2024,10.1002/casp.2858,Step_02_Theory_Grounding_and_Construct_Conceptualization
The Oxford House Stability Questionnaire: An Effort to Classify Recovery Homes,2024,10.1002/jcop.23168,
"Exploring social media as a tool for disentangling cultural ecosystem service values of whale-watching to inform environmental judgements and ethics: the case of Húsavík, Iceland",2024,10.1080/14724049.2024.2308367,Step_02_Theory_Grounding_and_Construct_Conceptualization
Economic valuation of cultural ecosystem services: A case of tropical reservoir ecosystem,2024,10.22438/jeb/45/5/MRN-5265,Step_02_Theory_Grounding_and_Construct_Conceptualization
Factors influencing farmers' intention to participate in the voluntary carbon market: An extended theory of planned behavior,2024,10.1016/j.jenvman.2024.122367,Step_02_Theory_Grounding_and_Construct_Conceptualization
How online pro-environmental games affect users' pro-environmental behavioural intentions? - Insights from Ant Forest,2024,10.1016/j.jenvman.2024.122182,
Empowerment of elder family caregivers in the context of Vietnam: applying the theory of planned behavior,2024,10.1007/s12546-024-09335-0,Step_02_Theory_Grounding_and_Construct_Conceptualization
"N, N-Dimethyltryptamine (DMT)-Occasioned Familiarity and the Sense of Familiarity Questionnaire (SOF-Q)",2024,10.1080/02791072.2023.2230568,
Reducing Burden in a Web Survey through Dependent Interviewing,2024,10.1093/jssam/smad006,
Equipping the Offline Population with Internet Access in an Online Panel: Does It Make a Difference?,2024,10.1093/jssam/smad003,Step_10_Survey_Distribution
Three Approaches to Improve Inferences Based on Survey Data Collected with Mixed-mode Designs,2024,10.1093/jssam/smae012,Step_10_Survey_Distribution
Text Messages to Facilitate the Transition to Web-First Sequential Mixed-Mode Designs in Longitudinal Surveys,2024,10.1093/jssam/smae003,Step_10_Survey_Distribution
Comparative Study on the Perception of Cultural Ecosystem Services in Taibai Mountain National Forest Park from Different Stakeholder Perspectives,2024,10.3390/land13122207,Step_02_Theory_Grounding_and_Construct_Conceptualization
In Pursuit of Eye Tracking for Visual Landscape Assessments,2024,10.3390/land13081184,
Integrated Eye-Tracking Response Surface Analysis to Optimize the Design of Garden Landscapes,2024,10.3390/land13071045,
Evaluating Public Satisfaction and Its Determinants in Chinese Sponge Cities Using Structural Equation Modeling,2024,10.3390/land13081225,Step_11_Data_Preparation_Analysis_and_Reporting
Unpacking the behavioral intentions of 'emergent farmers' towards mechanized conservation agriculture in Zambia,2024,10.1016/j.landusepol.2023.106979,
Spatial dimensions in stated preference valuation: The role of place attachment,2024,10.1016/j.landusepol.2023.106971,Step_11_Data_Preparation_Analysis_and_Reporting
"A systematic review of cultural ecosystem services of blue carbon ecosystems: Trends, gaps, and challenges in Asia and beyond",2024,10.1016/j.marpol.2023.105898,Step_02_Theory_Grounding_and_Construct_Conceptualization
Pro-environmental intention toward sustainable rangeland's management; application of protection motivation and cultural theories,2024,10.1111/1477-8947.12315,Step_04_Study_Architecture_and_Experimental_Design; Step_09_Power_Analysis_Sampling_and_Pilots; Step_11_Data_Preparation_Analysis_and_Reporting
Beach user perspectives on the upscaling of sand nourishments in response to sea level rise - A discrete choice experiment,2024,10.1016/j.ocecoaman.2024.107139,Step_04_Study_Architecture_and_Experimental_Design
"A structural equation modeling-based approach to identify the determinants of Lantana camara invasion in the Terai Arc Landscape, India",2024,10.1007/s11258-024-01399-5,Step_11_Data_Preparation_Analysis_and_Reporting
Career sacrifice for an LGBTQ*-friendly work environment? a choice experiment to investigate the job preferences of LGBTQ* people,2024,10.1371/journal.pone.0296419,Step_04_Study_Architecture_and_Experimental_Design
The self-reported driving and pedestrian behaviour of adults with developmental coordination disorder,2024,10.1371/journal.pone.0301115,Step_07_Measuring_Behavior_Beyond_Self_Report
Different types of mobile phone use while driving and influencing factors on intention and behavior: Insights from an expanded theory of planned behavior,2024,10.1371/journal.pone.0300158,Step_02_Theory_Grounding_and_Construct_Conceptualization
Artificial Intelligence in Academic Translation: A Comparative Study of Large Language Models and Google Translate,2024,10.31470/2309-1797-2024-35-2-134-156,Step_11_Data_Preparation_Analysis_and_Reporting
Exploring the utility of community-based participatory research to investigate mindfulness-based interventions in schools,2024,10.1002/pits.23059,Step_01_Epistemological_Alignment_and_Method_Selection
Socio-Psychological Resources of Career Development of an Organization's Employee: Evaluation of Structure and Reliability of a New Version of Lyness and Thompson's Questionnaire,2024,10.17323/1813-8918-2024-4-764-786,Step_03_Psychometric_Scales_and_Construct_Validity
The benefits and disbenefits associated with cultural ecosystem services of urban green spaces,2024,10.1016/j.scitotenv.2024.172092,Step_02_Theory_Grounding_and_Construct_Conceptualization
Modeling the distribution of cultural ecosystem services based on future climate variables under different scenarios,2024,10.1038/s41598-024-78798-1,Step_02_Theory_Grounding_and_Construct_Conceptualization
Feasibility assessment of a clean and efficient fire extinguishing system for pottery jar liquor warehouses,2024,10.1038/s41598-024-64168-4,
"Guaranteed Incentives and Prize Drawings: Effects on Participation, Data Quality, and Costs in a Web Survey of College Students on Sensitive Topics",2024,10.1177/08944393231189853,Step_11_Data_Preparation_Analysis_and_Reporting
The Impact of Survey Mode Design and Questionnaire Length on Measurement Quality,2024,10.1177/00491241221140139,Step_10_Survey_Distribution
Evaluating the Effect of Monetary Incentives on Web Survey Response Rates in the UK Millennium Cohort Study,2024,10.18148/srm/2024.v18i1.8210,Step_04_Study_Architecture_and_Experimental_Design; Step_10_Survey_Distribution
Using the Theory of Planned Behavior for Explaining Mobile Phone Recycling: The Role of Subjective Norms,2024,10.3390/su16208773,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
Investigating the Enduring Determinants of Workers' Decision to Stay or Emigrate: An Extended Application of the Theory of Planned Behavior,2024,10.3390/su16219220,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
Determining the Scale to Ensure Locality and a Sense of Belonging in the Housing Redevelopment Process: Bursa Hurriyet Neighborhood Field Study,2024,10.3390/su16010010,
Do Biospheric Values Moderate the Impact of Information Appeals on Pro-Environmental Behavioral Intentions?,2024,10.3390/su16072915,
The Attitudes of Xizang Residents Toward Tourism Development Based on Structural Equation Modeling,2024,10.3390/su162410953,Step_11_Data_Preparation_Analysis_and_Reporting
A new scale to assist in evaluating architectural proposals on the natural dimension based on psychometrics,2024,10.1016/j.scs.2023.105037,Step_03_Psychometric_Scales_and_Construct_Validity
Intention-to-use low-carbon travel modes - An investigation integrating Maslow's hierarchy of (driving) needs and the theory of planned behavior,2024,10.1016/j.scs.2024.105187,Step_02_Theory_Grounding_and_Construct_Conceptualization
Nature in urban green spaces: Main attractor or nice background? Drivers and dynamics of cultural ecosystem services provision,2024,10.1016/j.ufug.2024.128328,Step_02_Theory_Grounding_and_Construct_Conceptualization
Artificial Intelligence and content analysis: the large language models (LLMs) and the automatized categorization,2025,10.1007/s00146-024-01988-y,Step_11_Data_Preparation_Analysis_and_Reporting
"Digital ""We"": Human Sociality and Culture in the Era of Social Media and Artificial Intelligence",2025,10.1037/amp0001577,
Evaluation of Cultural Ecosystem Services in the Urban Parks of Macau from a Cultural Heritage Perspective,2025,10.3390/app15073946,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
Evaluating the Performance Impact of Data Sovereignty Features on Data Spaces,2025,10.3390/app15179841,
Mobile Reading Attention of College Students in Different Reading Environments: An Eye-Tracking Study,2025,10.3390/bs15070953,Step_01_Epistemological_Alignment_and_Method_Selection
Farmers' climate change perceptions in central Colombia: A propensity score matching approach using protection motivation theory and psychological distance,2025,10.1016/j.crm.2025.100720,Step_02_Theory_Grounding_and_Construct_Conceptualization
Geographically weighted regression model-calibration for finite population parameter estimation under two stage sampling design,2025,10.1080/03610918.2024.2369800,
Fractional imputation algorithm in functional-coefficient structural equation model,2025,10.1080/03610918.2025.2568605,Step_11_Data_Preparation_Analysis_and_Reporting
"A manifesto for a globally diverse, equitable, and inclusive open science",2025,10.1038/s44271-024-00179-1,Step_05_Preregistration_and_Open_Science
Enhancing textile heritage engagement through generative AI-based virtual assistants in virtual reality museums,2025,10.1016/j.cexr.2025.100112,
Large language models and digital multimodal composition in the first-year composition classrooms: An encroachment and/or enhancement dilemma,2025,10.1016/j.compcom.2024.102892,Step_11_Data_Preparation_Analysis_and_Reporting
Does protection motivation predict self-protective online behaviour? Comparing self-reported and actual online behaviour using a population-based survey experiment,2025,10.1016/j.chbr.2025.100649,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_07_Measuring_Behavior_Beyond_Self_Report
The generations of cultural ecosystem services research,2025,10.1111/cobi.70065,Step_02_Theory_Grounding_and_Construct_Conceptualization
"Rethinking success in policing: a moderation model of specialism's interaction with self-reported competence, specialism endorsement, wellbeing and organisational support",2025,10.1007/s12144-025-08318-5,Step_07_Measuring_Behavior_Beyond_Self_Report
Adapting the Highly Sensitive Child Scale-21 item: a psychometric evaluation in a mainland China sample,2025,10.1007/s12144-024-07271-z,Step_03_Psychometric_Scales_and_Construct_Validity; Step_07_Measuring_Behavior_Beyond_Self_Report
An application of the theory of planned behavior to women's feminist and protective action in Türkiye,2025,10.1007/s12144-025-08179-y,Step_02_Theory_Grounding_and_Construct_Conceptualization
"Mangroves and economic development in Tobago: Incorporating payment horizons, choice certainty and ex-post interviews in discrete choice experiments",2025,10.1016/j.ecolecon.2025.108693,Step_04_Study_Architecture_and_Experimental_Design
Engaging high-income earners in climate action: Policy insights from survey experiments,2025,10.1016/j.ecolecon.2024.108387,Step_04_Study_Architecture_and_Experimental_Design
Cultural ecosystem services and opportunities for inclusive and effective nature-based solutions,2025,10.1016/j.ecolecon.2025.108525,Step_02_Theory_Grounding_and_Construct_Conceptualization
Optimizing marine debris monitoring: balancing statistical power and test size in survey design,2025,10.1016/j.ecolind.2025.113807,Step_04_Study_Architecture_and_Experimental_Design; Step_09_Power_Analysis_Sampling_and_Pilots
Evaluating effects of data quality and variable weighting on habitat suitability modelling,2025,10.1016/j.ecoinf.2025.103086,Step_11_Data_Preparation_Analysis_and_Reporting
Data quality issues in data used in species distribution models: A systematic literature review,2025,10.1016/j.ecoinf.2025.103378,Step_11_Data_Preparation_Analysis_and_Reporting
Dracula's Menagerie Reloaded: Assessing the Relative Roles of Habitat and Interspecific Interactions in an Intact Mammalian Assemblage Using Structural Equation Modeling,2025,10.1002/ece3.71381,Step_11_Data_Preparation_Analysis_and_Reporting
A comprehensive framework for automated identification of cultural ecosystem services,2025,10.1016/j.ecoser.2025.101770,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
Offshore cultural ecosystem services: evidence from open-sea research,2025,10.1016/j.ecoser.2025.101783,Step_02_Theory_Grounding_and_Construct_Conceptualization
Combination of participatory mapping and Maxent model to visualize the cultural ecosystem services at county scale,2025,10.1016/j.ecoser.2025.101710,Step_02_Theory_Grounding_and_Construct_Conceptualization
A mixed method evaluation of ecosystem services and services-to-ecosystems illuminates culturally important trees in a settled landscape,2025,10.1080/26395916.2025.2455441,Step_01_Epistemological_Alignment_and_Method_Selection
The role of private landowners for generating cultural ecosystem services in Mediterranean rural landscapes: a case study in Andalusia (Spain),2025,10.1080/26395916.2025.2451289,Step_02_Theory_Grounding_and_Construct_Conceptualization
Farmers' preferences for adopting organic rice farming in vietnam's Mekong river delta: insights from discrete choice experiments,2025,10.1007/s10668-025-06605-6,Step_04_Study_Architecture_and_Experimental_Design
Place attachment and residential water conservation: Application of an extended Theory of Planned Behaviour in Australia's Northern Territory,2025,10.1016/j.envdev.2025.101203,Step_02_Theory_Grounding_and_Construct_Conceptualization
Describing teachers' environmental identity as part of education for sustainable development,2025,10.1080/13504622.2025.2482740,Step_03_Psychometric_Scales_and_Construct_Validity
Does religious difference have an impact on the diffusion of sustainable innovations? A mixed-methods analysis of ecovillages worldwide,2025,10.1016/j.eist.2025.101024,Step_01_Epistemological_Alignment_and_Method_Selection
Integrating the Value Belief Norm Theory and Theory of Planned Behavior to Predict the Climate Change Mitigation and Adaption Behaviors in Agriculture Production,2025,10.1007/s00267-025-02217-y,Step_02_Theory_Grounding_and_Construct_Conceptualization
Toward reproducible and interoperable environmental modeling: Integration of HydroShare with server-side methods for exposing large-extent spatial datasets to models,2025,10.1016/j.envsoft.2024.106239,Step_05_Preregistration_and_Open_Science
Estimates of global surface water dynamics harnessing near real-time land cover observations and open science geospatial capabilities,2025,10.1088/1748-9326/ae137b,Step_05_Preregistration_and_Open_Science
Sampling design methods for making improved lake management decisions,2025,10.1002/env.2842,
Private forest owner preferences for action- and result-based biodiversity restoration contracts - A discrete choice experiment in Denmark and Finland,2025,10.1016/j.forpol.2025.103609,Step_04_Study_Architecture_and_Experimental_Design
Organizational culture and academic staff satisfaction in Somaliland higher education: evidence from structural equation modeling,2025,10.3389/feduc.2025.1635607,Step_11_Data_Preparation_Analysis_and_Reporting
Assessing the impact of risk perception on fisheries performance: a structural equation modeling approach in coastal fisheries,2025,10.3389/fmars.2025.1533220,Step_11_Data_Preparation_Analysis_and_Reporting
Do delayed responses introduce bias in ecological momentary assessment? Evidence from comparisons between self-reported and objective physical activity,2025,10.3389/fpsyg.2024.1503411,Step_07_Measuring_Behavior_Beyond_Self_Report
Extending the game immersion questionnaire to online users,2025,10.3389/fpsyg.2025.1473821,
Effect of perceived autonomy supports on exercise persistence for adolescents: an integrated model based on basic psychological needs theory and the theory of planned behavior,2025,10.3389/fpsyg.2025.1692940,Step_02_Theory_Grounding_and_Construct_Conceptualization
Applying mobile eye tracking to measure real-time engagement and enhance informal learning at environmental exhibits,2025,10.3389/fpsyg.2025.1607029,
Understanding public engagement in animal welfare in South Korea: a theory of planned behavior approach,2025,10.3389/fvets.2025.1657203,Step_02_Theory_Grounding_and_Construct_Conceptualization
Psychometric Properties of the Job Crafting Questionnaire Among Slovak Employees Working in Flexible Work Arrangements,2025,10.1155/hbe2/6676044,Step_03_Psychometric_Scales_and_Construct_Validity; Step_11_Data_Preparation_Analysis_and_Reporting
Declining hunter and trapper mail survey response rates between 1976 and 2020 in illinois,2025,10.1080/10871209.2024.2354419,Step_10_Survey_Distribution
Assessing farmers' willingness to adopt conservation agricultural practices through an extended theory of planned behavior,2025,10.1057/s41599-025-06173-0,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
Spatial distribution of archeological sites in the Kingdom of Saudi Arabia and the application of the theory of planned behavior to predict pro-environmental behavioral intention among Saudi citizens,2025,10.1057/s41599-025-05309-6,Step_02_Theory_Grounding_and_Construct_Conceptualization
Evaluating beekeeping practices through structural equation modeling and artificial neural network analysis,2025,10.1057/s41599-025-06144-5,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
Bridging entrepreneurial networks and academic entrepreneurial behavior: applying theory of planned behavior,2025,10.1007/s11365-025-01096-3,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
The effect of educational intervention based on the theory of planned behaviour on promotion of traffic-safe behaviours in students,2025,10.1080/02673843.2025.2488465,Step_02_Theory_Grounding_and_Construct_Conceptualization
Indigenous data sovereignty in intangible cultural heritage governance: A complementary approach to public-private partnerships,2025,10.1017/S0940739125100064,Step_08_Ethics_and_Participant_Compensation
Factors Influencing University Students' Intention to Learn Artificial Intelligence: Insights from Expectancy-Value Theory and Protection Motivation Theory,2025,10.1080/10447318.2025.2600532,Step_02_Theory_Grounding_and_Construct_Conceptualization
Integrating Information Security Culture and Protection Motivation to Enhance Compliance with Information Security Policies in Banking: Evidence from PLS-SEM and fsQCA,2025,10.1080/10447318.2025.2464900,Step_02_Theory_Grounding_and_Construct_Conceptualization
What drives sustainable procurement? Insights from the theory of planned behavior,2025,10.1108/IJOPM-02-2024-0164,Step_02_Theory_Grounding_and_Construct_Conceptualization
"Forest Ethnography: ""Behind the Scenes""",2025,10.1177/16094069251385436,Step_01_Epistemological_Alignment_and_Method_Selection
Thematic Analysis and Artificial Intelligence: A Step-by-Step Process for Using ChatGPT in Thematic Analysis,2025,10.1177/16094069251333886,Step_11_Data_Preparation_Analysis_and_Reporting
Finns' self-selection into survey research as a function of researcher ethnicity: does signing the request letter with a foreign name (Russian or Arabic) attenuate response rates?,2025,10.1080/13645579.2024.2439337,Step_10_Survey_Distribution
Using memes and emoji-scales in a web survey: experimental assessment of consequences for multimodal cognitive effort and data quality,2025,10.1080/13645579.2024.2359474,Step_11_Data_Preparation_Analysis_and_Reporting
Improving the reliability of a nonprobability web survey: application to measuring gender pay gap,2025,10.1080/13645579.2024.2371238,Step_03_Psychometric_Scales_and_Construct_Validity
Benefits of increasing the value of respondent incentives during the course of a longitudinal mixed-mode survey,2025,10.1080/13645579.2024.2443630,Step_04_Study_Architecture_and_Experimental_Design; Step_10_Survey_Distribution
Voluntary carbon offsetting under the lens of the norm activation model: airline passenger perspectives,2025,10.1504/IJSA.2025.150669,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
Examining the Utility of an Extended Theory of Planned Behavior (TPB) on Academic Dishonesty among Undergraduates,2025,10.1007/s10805-024-09548-1,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_03_Psychometric_Scales_and_Construct_Validity; Step_11_Data_Preparation_Analysis_and_Reporting
Predictors and moderators of ESL classroom speaking anxiety: a structural equation modelling approach,2025,10.1108/JARHE-05-2025-0380,Step_11_Data_Preparation_Analysis_and_Reporting
"Shaping Immigration Explicit and Implicit Attitudes With Framing: The Role of Self-Reported Political Orientation, RWA, and SDO",2025,10.1111/jasp.13091,Step_07_Measuring_Behavior_Beyond_Self_Report
"Exploring residents' preferences for riparian restoration attributes in Lake Dambal watershed, Ethiopia: A choice experiment approach",2025,10.1016/j.jenvman.2025.125447,Step_04_Study_Architecture_and_Experimental_Design
Leveraging mixed methods in social-ecological systems: A plan for measuring community impacts of environmental clean-up,2025,10.1016/j.jenvman.2025.127122,Step_01_Epistemological_Alignment_and_Method_Selection
Identifying cultural ecosystem service flows and drivers in ecological functional zone,2025,10.1016/j.jenvman.2025.126914,Step_02_Theory_Grounding_and_Construct_Conceptualization
"The various forms of anger about climate change in Australia and their relations with self-reported actions, intentions, and distress",2025,10.1016/j.jenvp.2024.102490,Step_07_Measuring_Behavior_Beyond_Self_Report
The spatio-affective determinants of gender discrepancy in mobility experience: Influence of person-environment misfit and fear of crime on commuters' affective experience and behavioral intention to avoid mobility environments,2025,10.1016/j.jenvp.2025.102752,
Invitation Letters Increase Response Rates in Elite Surveys: Evidence from Germany and the United Kingdom,2025,10.1017/xps.2025.10004,Step_04_Study_Architecture_and_Experimental_Design; Step_10_Survey_Distribution
Bias Is Not Color Blind: Ignoring Gender and Race Leads to Suboptimal Selection Decisions-A Registered Report,2025,10.1037/xge0001870,Step_05_Preregistration_and_Open_Science
The malleability of reliance on race or ethnic vs. gender stereotypes in implicit person perception in the presence of counterstereotypic individuating information: A registered report,2025,10.1016/j.jesp.2025.104779,Step_05_Preregistration_and_Open_Science
EDUCATIONAL EVALUATION WITH LARGE LANGUAGE MODELS (LLMS): CHATGPT-4 IN RECALLING AND EVALUATING STUDENTS' WRITTEN RESPONSES,2025,10.28945/5433,Step_11_Data_Preparation_Analysis_and_Reporting
AI-Human Hybrids for Marketing Research: Leveraging Large Language Models (LLMs) as Collaborators,2025,10.1177/00222429241276529,Step_11_Data_Preparation_Analysis_and_Reporting
Procedural ethics for social science research: Introducing the Research Ethics Governance dataset,2025,10.1177/00223433241249352,Step_08_Ethics_and_Participant_Compensation
Stroke prevention education in African Americans: Lessons learned from a community based participatory feasibility study,2025,10.1080/10852352.2024.2408506,
Supply-Demand Assessment of Cultural Ecosystem Services in Urban Parks of Plateau River Valley City: A Case Study of Lhasa,2025,10.3390/land14061301,Step_02_Theory_Grounding_and_Construct_Conceptualization
"Structural Equation Model in Landscape Performance Research: Dimensions, Methodologies, and Recommendations",2025,10.3390/land14030646,Step_11_Data_Preparation_Analysis_and_Reporting
Analysis of Influencing Factors of Soil Erosion Changes Based on Structural Equation Model,2025,10.3390/land14020304,Step_11_Data_Preparation_Analysis_and_Reporting
Reproducible scale-up of high-selectivity 80-cm-long NaA zeolite membranes via green gel-less conversion method for dehydration of ethanol,2025,10.1016/j.matdes.2025.114524,Step_05_Preregistration_and_Open_Science
Researching the Moment of Truth: An Experiment Comparing In-the-Moment and Conventional Web Surveys to Investigate Online Job Applications,2025,10.12758/mda.2025.08,Step_10_Survey_Distribution
Effects of anthropogenic noise on marine mammal abundances informed by mixed methods,2025,10.1038/s44183-025-00113-w,Step_01_Epistemological_Alignment_and_Method_Selection; Step_11_Data_Preparation_Analysis_and_Reporting
"The Facilitating Act Framework: A new insight into cultural ecosystem services through investigating women, wild swimming and community",2025,10.1002/pan3.70077,Step_01_Epistemological_Alignment_and_Method_Selection; Step_02_Theory_Grounding_and_Construct_Conceptualization
"Nature Relatedness, well-being and life satisfaction across an urban-rural gradient",2025,10.1002/pan3.70184,Step_02_Theory_Grounding_and_Construct_Conceptualization
Testing the reproducibility of ecological studies on insect behavior in a multi-laboratory setting identifies opportunities for improving experimental rigor,2025,10.1371/journal.pbio.3003019,Step_04_Study_Architecture_and_Experimental_Design; Step_05_Preregistration_and_Open_Science
The impact of social networks on rural residents' engagement in living environment upgrade: An integrated analysis drawing on social network theory and the theory of planned behavior,2025,10.1371/journal.pone.0312779,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
Collecting Qualitative Data at Scale with Large Language Models: A Case Study,2025,10.1145/3710947,Step_11_Data_Preparation_Analysis_and_Reporting
Exploring How Many Categories Are Needed to Model Ordinal Intensive Longitudinal Data as Continuous With Dynamic Structural Equation Models,2025,10.1037/met0000784,Step_11_Data_Preparation_Analysis_and_Reporting
Understanding the Climate for Creativity and Innovation: 40 Years of Progress on the Situational Outlook Questionnaire,2025,10.1177/00332941251335600,
An Ecowomanist Analysis of Politicized Environmental Identity Formation and Environmental Activism Among Black Women in the United States,2025,10.1177/03616843251382254,Step_03_Psychometric_Scales_and_Construct_Validity
"It might be able to produce a text, but it's not able to produce knowledge: qualitative researchers' perspectives on the use of Generative AI in research",2025,10.1080/14780887.2025.2602816,Step_11_Data_Preparation_Analysis_and_Reporting
Exploring environmentally responsible behavior of megaproject contractors using an extended theory of planned behavior,2025,10.1038/s41598-025-06547-z,Step_02_Theory_Grounding_and_Construct_Conceptualization
Validating ajzen's theory of planned behavior in Saudi translation education programs using a reflective structural equation model,2025,10.1038/s41598-025-05363-9,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_03_Psychometric_Scales_and_Construct_Validity; Step_11_Data_Preparation_Analysis_and_Reporting
Reproducible Ala-Gly oligomerization catalyzed by the natural Borate colemanite in prebiotic conditions,2025,10.1038/s41598-025-14072-2,Step_05_Preregistration_and_Open_Science
"Comparing large Language models and human annotators in latent content analysis of sentiment, political leaning, emotional intensity and sarcasm",2025,10.1038/s41598-025-96508-3,Step_03_Psychometric_Scales_and_Construct_Validity; Step_11_Data_Preparation_Analysis_and_Reporting
Thematic insights into the impact of large language models on K-12 education in rural India from student volunteers' perspectives,2025,10.1038/s41598-025-18047-1,Step_01_Epistemological_Alignment_and_Method_Selection; Step_11_Data_Preparation_Analysis_and_Reporting
Study on the effect of space tightness on the inerting effect of liquid CO2 in pottery jar liquor warehouses,2025,10.1038/s41598-024-84180-y,
Comparison of Online Probability Panels in Europe: New Trends and Old Challenges in the Era of Open Science,2025,10.3390/soc15080210,Step_05_Preregistration_and_Open_Science; Step_11_Data_Preparation_Analysis_and_Reporting
Promoting safe and pro-environmental behaviors for sustainable forest management: Integrating technology acceptance model and the norm activation model,2025,10.1016/j.seps.2025.102158,Step_02_Theory_Grounding_and_Construct_Conceptualization; Step_11_Data_Preparation_Analysis_and_Reporting
How Valid Are Trust Survey Measures? New Insights From Open-Ended Probing Data and Supervised Machine Learning,2025,10.1177/00491241241234871,Step_06_Instrument_Construction; Step_11_Data_Preparation_Analysis_and_Reporting
Switching a Face-to-Face Panel to Self-Administered Survey Modes: Experimental Evidence on Effects of Mode Assignment on Response and Selectivity,2025,10.18148/srm/2025.v19i1.8427,
The Effect of Targeted Incentives on Response Rates and Representativeness: Evidence from the Next Steps Age 32 Survey,2025,10.18148/srm/2025.v19i3.8451,Step_10_Survey_Distribution
Against All Odds: On the Robustness of Probability Samples Against Decreases in Response Rates,2025,10.18148/srm/8475,Step_10_Survey_Distribution
Internet Coverage Bias in Web Surveys in Europe,2025,10.18148/srm/2025.v19i2.8298,Step_10_Survey_Distribution; Step_11_Data_Preparation_Analysis_and_Reporting
"Effects of Replacing Telephone with Web, Mail, and Mixed-Mode Data Collection in an Establishment Follow-Up Survey",2025,10.18148/srm/2025.v19i4.8553,Step_10_Survey_Distribution
The Impact of Scale Direction on Data Quality,2025,10.18148/srm/2025.v19i2.8384,Step_11_Data_Preparation_Analysis_and_Reporting
